date,output
85-01,60.42100000000001
85-02,59.04224180867437
85-03,52.30533572539258
85-04,48.2570356406174
85-05,46.56389151691146
85-06,49.023762212688204
85-07,52.98017929917012
85-08,53.6470575776351
85-09,51.51748160833047
85-10,48.008292111510606
85-11,49.569840762827255
85-12,58.874994595036526
86-01,62.967570632592455
86-02,58.54652665642541
86-03,53.71768197882335
86-04,49.36222844664004
86-05,48.42914696926283
86-06,52.10665045320829
86-07,57.35318472275688
86-08,56.37569652584438
86-09,53.467048837490694
86-10,50.55457962452693
86-11,52.27646457603211
86-12,60.1749500246922
87-01,65.35599523569832
87-02,62.189757804202806
87-03,58.38524082062267
87-04,53.66948924078364
87-05,52.655720790121705
87-06,57.288608194072964
87-07,61.90791112280645
87-08,63.1436172862421
87-09,57.92600554635218
87-10,54.688392429697785
87-11,56.72030290751673
87-12,64.24966515528602
88-01,72.89292642801783
88-02,69.68451058232223
88-03,64.47692543033352
88-04,58.15285664848155
88-05,56.61105232796144
88-06,62.02530150742135
88-07,67.62288111761545
88-08,70.37987428862861
88-09,62.874602858267224
88-10,59.08249560727927
88-11,60.93967357670887
88-12,69.30927195797933
89-01,73.29979581071557
89-02,72.31889418415285
89-03,69.35338320542357
89-04,61.71427634869707
89-05,60.52197837435747
89-06,65.23164151491186
89-07,70.70482713127765
89-08,71.85517253166617
89-09,66.52740492916385
89-10,63.39303981692345
89-11,66.63781835637903
89-12,81.4347993047486
90-01,81.80060008114539
90-02,75.02064325003158
90-03,71.3352317417491
90-04,65.73320014933488
90-05,64.4729460853234
90-06,70.17788787227505
90-07,75.42395555940716
90-08,76.0994536573901
90-09,72.29032650320038
90-10,66.89386653312003
90-11,68.18674541702033
90-12,77.44898032573445
91-01,85.97810987635562
91-02,77.71426999725065
91-03,73.69935981059531
91-04,67.62659383200682
91-05,69.47985243091426
91-06,75.75765715421917
91-07,81.27464534751776
91-08,80.53179641763084
91-09,75.03798298952564
91-10,70.29888270857789
91-11,74.33371753760767
91-12,81.68726235955025
92-01,87.8652250622477
92-02,82.7979403817191
92-03,77.1705837700871
92-04,72.29633239467748
92-05,69.91305738445216
92-06,74.29385781414491
92-07,81.07167318095223
92-08,80.25876147089703
92-09,76.06390148148762
92-10,72.75137742337643
92-11,77.65894212905916
92-12,89.52492834092408
93-01,93.39429141640252
93-02,90.02101630378189
93-03,84.82513674041077
93-04,76.0333510449285
93-05,72.59806458603786
93-06,79.93705807403656
93-07,88.52196212371567
93-08,88.69790174556627
93-09,80.84120247185005
93-10,75.69844677878885
93-11,81.06112898256693
93-12,91.9654184476698
94-01,103.04583408095553
94-02,95.64893004819768
94-03,87.18289136261244
94-04,78.28122308699442
94-05,76.72048746834938
94-06,86.44636078901343
94-07,92.54820386889318
94-08,91.23377551682908
94-09,84.53418556664907
94-10,79.80241340711734
94-11,84.47184886278806
94-12,95.45475547283144
95-01,104.3145983038524
95-02,98.86616216239192
95-03,92.15649888648309
95-04,83.9204643301631
95-05,83.50749911095953
95-06,89.47111331506002
95-07,98.49666175852472
95-08,102.83705968413877
95-09,90.38279931412433
95-10,85.07458704705314
95-11,92.17208256520414
95-12,105.3641244721219
96-01,115.10685639210881
96-02,108.3032025945744
96-03,101.61893605315365
96-04,90.49224485326809
96-05,90.08805774596318
96-06,96.49687135400478
96-07,101.49934481450867
96-08,102.46102252053069
96-09,93.98054733449997
96-10,88.86098779541203
96-11,96.701278110871
96-12,108.1997624773946
97-01,118.03466876610885
97-02,107.89912075591435
97-03,100.01863421311931
97-04,91.97935286849
97-05,89.42609736027772
97-06,96.83607619229086
97-07,107.65430604536095
97-08,107.11008701840936
97-09,100.23195132750273
97-10,95.04541728398338
97-11,100.87002144150418
97-12,113.51992652238933
98-01,117.1321582078453
98-02,108.7914073569337
98-03,107.4953119542858
98-04,95.56191312271419
98-05,97.39901133602883
98-06,108.19137935862385
98-07,117.723443891277
98-08,117.63510901661441
98-09,110.38030063800333
98-10,101.24325414586944
98-11,103.20056114141633
98-12,116.48291241021904
99-01,130.08842048849067
99-02,116.43270882491576
99-03,116.15769500105519
99-04,103.33461573701541
99-05,102.14342144850768
99-06,113.30682433456192
99-07,126.06848215557838
99-08,124.99411879451183
99-09,113.36487304504327
99-10,105.0728695481785
99-11,107.37840680740634
99-12,123.76913915106557
00-01,134.21594768775213
00-02,124.11625602243014
00-03,116.2408198044467
00-04,107.73741296222377
00-05,112.00529243997953
00-06,121.0441943221399
00-07,127.95502202028639
00-08,132.78814294761983
00-09,121.80016616856024
00-10,111.66314737111652
00-11,118.54338812450115
00-12,138.30109574458638
01-01,147.65316768174714
01-02,131.8324367181276
01-03,126.25819580349469
01-04,113.06000237982316
01-05,112.84212400084445
01-06,123.88425200297158
01-07,131.99937280103677
01-08,137.12568024514766
01-09,121.90643901188841
01-10,114.46905241811196
01-11,115.09976135980115
01-12,129.45247074673057
02-01,143.6694617111503
02-02,133.1416942062393
02-03,130.74182456311166
02-04,120.58639242990895
02-05,120.10234920321078
02-06,131.64282033704245
02-07,145.00958220403555
02-08,144.29193957669202
02-09,132.81371045277567
02-10,124.00446398666347
02-11,126.71380066813201
02-12,144.56786741136878
03-01,158.4207920843953
03-02,149.68334259496137
03-03,136.63950846981498
03-04,123.23451284531416
03-05,124.13186703409005
03-06,132.61559392296414
03-07,149.21852722211386
03-08,152.88598923405604
03-09,136.31984985581352
03-10,127.23795682559222
03-11,130.61031948953593
03-12,153.07007456526398
04-01,168.5442233810825
04-02,157.73229202681858
04-03,142.10916080390848
04-04,129.50692660574313
04-05,133.28806217282943
04-06,143.3423246810993
04-07,153.16971521133615
04-08,151.15501884589014
04-09,142.193400740302
04-10,132.70139700234927
04-11,136.21091984426505
04-12,161.10679629063495
05-01,169.81714636001283
05-02,155.87790029706127
05-03,151.93760056354554
05-04,133.11324441581516
05-05,134.6007114566654
05-06,153.9456064343117
05-07,168.04943890953467
05-08,170.2408724324088
05-09,154.5050692135488
05-10,140.26998059434953
05-11,141.72449082019796
05-12,169.98933305699146
06-01,164.5089541517635
06-02,160.26348073003655
06-03,155.7341933116846
06-04,138.84565362184037
06-05,143.19386282637174
06-06,160.303489237011
06-07,177.3767405072228
06-08,178.73703020211423
06-09,153.8722291722781
06-10,145.57970752851887
06-11,149.14989040420508
06-12,166.8657199908376
07-01,181.88200173240702
07-02,181.98763528030244
07-03,161.81569809472538
07-04,148.52823397956536
07-05,150.9385102568873
07-06,165.96402463382708
07-07,177.2613874712319
07-08,188.5057829487317
07-09,168.16021911666715
07-10,154.43062885952716
07-11,156.3289119550676
07-12,178.1522940294433
08-01,192.1214857143388
08-02,181.54089653698702
08-03,168.88959894056916
08-04,153.39585441796282
08-05,154.1899915717302
08-06,176.13704136090925
08-07,188.14131230704487
08-08,183.1735691832356
08-09,166.82394086193898
08-10,155.7437209972506
08-11,160.95523569852028
08-12,188.22513980843735
09-01,201.47891832713222
09-02,180.53046890524467
09-03,169.6041184085044
09-04,153.25501189907376
09-05,152.49154809756666
09-06,169.82121606982153
